2026-08-15 12:34:09 | DEBUG    | mysql.connector | Switching to SSL
2026-08-15 12:34:09 | DEBUG    | mysql.connector | SSL has been enabled
2026-08-15 12:34:09 | DEBUG    | mysql.connector | Starting authorization phase
2026-08-15 12:34:09 | DEBUG    | mysql.connector | The provided initial strategy is caching_sha2_password
2026-08-15 12:34:09 | DEBUG    | mysql.connector | Exchanging further packets
2026-08-15 12:34:09 | DEBUG    | mysql.connector | caching_sha2_password completed succesfully
2026-08-15 12:34:18 | DEBUG    | mysql.connector | Building SSL context
2026-08-15 12:34:18 | DEBUG    | mysql.connector | Switching to SSL
2026-08-15 12:34:18 | DEBUG    | mysql.connector | SSL has been enabled
2026-08-15 12:34:18 | DEBUG    | mysql.connector | Starting authorization phase
2026-08-15 12:34:18 | DEBUG    | mysql.connector | The provided initial strategy is caching_sha2_password
2026-08-15 12:34:18 | DEBUG    | mysql.connector | Exchanging further packets
2026-08-15 12:34:18 | DEBUG    | mysql.connector | caching_sha2_password completed succesfully
2026-08-15 12:34:21 | DEBUG    | mysql.connector | Building SSL context
2026-08-15 12:34:21 | DEBUG    | mysql.connector | Switching to SSL
2026-08-15 12:34:21 | DEBUG    | mysql.connector | SSL has been enabled
2026-08-15 12:34:21 | DEBUG    | mysql.connector | Starting authorization phase
2026-08-15 12:34:21 | DEBUG    | mysql.connector | The provided initial strategy is caching_sha2_password
2026-08-15 12:34:21 | DEBUG    | mysql.connector | Exchanging further packets
2026-08-15 12:34:21 | DEBUG    | mysql.connector | caching_sha2_password completed succesfully
2026-08-15 12:34:53 | DEBUG    | mysql.connector | Building SSL context
2026-08-15 12:34:53 | DEBUG    | mysql.connector | Switching to SSL
2026-08-15 12:34:53 | DEBUG    | mysql.connector | SSL has been enabled
2026-08-15 12:34:53 | DEBUG    | mysql.connector | Starting authorization phase
2026-08-15 12:34:53 | DEBUG    | mysql.connector | The provided initial strategy is caching_sha2_password
2026-08-15 12:34:53 | DEBUG    | mysql.connector | Exchanging further packets
2026-08-15 12:34:53 | DEBUG    | mysql.connector | caching_sha2_password completed succesfully
2026-08-15 12:35:01 | DEBUG    | mysql.connector | Building SSL context
2026-08-15 12:35:01 | DEBUG    | mysql.connector | Switching to SSL
2026-08-15 12:35:01 | DEBUG    | mysql.connector | SSL has been enabled
2026-08-15 12:35:01 | DEBUG    | mysql.connector | Starting authorization phase
2026-08-15 12:35:01 | DEBUG    | mysql.connector | The provided initial strategy is caching_sha2_password
2026-08-15 12:35:01 | DEBUG    | mysql.connector | Exchanging further packets
2026-08-15 12:35:01 | DEBUG    | mysql.connector | caching_sha2_password completed succesfully
2026-08-15 12:35:06 | DEBUG    | mysql.connector | Building SSL context
2026-08-15 12:35:06 | DEBUG    | mysql.connector | Switching to SSL
2026-08-15 12:35:06 | DEBUG    | mysql.connector | SSL has been enabled
2026-08-15 12:35:06 | DEBUG    | mysql.connector | Starting authorization phase
2026-08-15 12:35:06 | DEBUG    | mysql.connector | The provided initial strategy is caching_sha2_password
2026-08-15 12:35:06 | DEBUG    | mysql.connector | Exchanging further packets
2026-08-15 12:35:06 | DEBUG    | mysql.connector | caching_sha2_password completed succesfully
2026-08-15 12:35:30 | DEBUG    | mysql.connector | Building SSL context
2026-08-15 12:35:30 | DEBUG    | mysql.connector | Switching to SSL
2026-08-15 12:35:30 | DEBUG    | mysql.connector | SSL has been enabled
2026-08-15 12:35:30 | DEBUG    | mysql.connector | Starting authorization phase
2026-08-15 12:35:30 | DEBUG    | mysql.connector | The provided initial strategy is caching_sha2_password
2026-08-15 12:35:30 | INFO     | mysql.connector | package: mysql.connector.plugins
2026-08-15 12:35:30 | INFO     | mysql.connector | plugin_name: caching_sha2_password
2026-08-15 12:35:30 | INFO     | mysql.connector | AUTHENTICATION_PLUGIN_CLASS: MySQLCachingSHA2PasswordAuthPlugin
2026-08-15 12:35:30 | DEBUG    | mysql.connector | Exchanging further packets
2026-08-15 12:35:30 | DEBUG    | mysql.connector | caching_sha2_password completed succesfully
2026-08-15 12:35:33 | DEBUG    | mysql.connector | Building SSL context
2026-08-15 12:35:33 | DEBUG    | mysql.connector | Switching to SSL
2026-08-15 12:35:33 | DEBUG    | mysql.connector | SSL has been enabled
2026-08-15 12:35:33 | DEBUG    | mysql.connector | Starting authorization phase
2026-08-15 12:35:33 | DEBUG    | mysql.connector | The provided initial strategy is caching_sha2_password
2026-08-15 12:35:33 | DEBUG    | mysql.connector | Exchanging further packets
2026-08-15 12:35:33 | DEBUG    | mysql.connector | caching_sha2_password completed succesfully
